questions,answers
asking about the soil health card,"advice to contact near by kvk and objective of the soil health card scheme objectives

i. to issue soil health cards every 3 years, to all farmers of the country, so as to provide a basis to address nutrient deficiencies in fertilization practices.
ii. to strengthen functioning of soil testing laboratories (stls) through capacity building, involvement of agriculture students and effective linkage with indian council of agricultural research (icar) / state agricultural universities (saus).
iii. to diagnose soil fertility related constraints with standardized procedures for sampling uniformly across states and analysis and design taluqa / block level fertilizer recommendations in targeted districts.
iv. to develop and promote soil test based nutrient management in the districts for enhancing nutrient use efficiency.
v. to build capacities of district and state level staff and of progressive farmers for promotion of nutrient management practices"
querry regarding varieties of potato,recommended to cultivate varieties like kufri jyoti and kufri megha
asking about the control of shoot and fruit borer  in brinjal,suggested him to spray decis @ 2ml/liter of water
asking for the growth of fruits in papaya,recommended to spray tracel 2 @ 2 gm per litre of water
asking about control of aphid in okra,advice to apply maxima  2ml/l of water
asking about different government scheme,advised to contact with concerned agricultural development officer
asking about the pond management,explained indetails
asking about control measure of blight in potato,recommended to spray indofil m 45 @ 2 g per lit of water
asking about the field preparation of paddy  field,explain in details
asking about the control measure to control aphid infestation in leaves of rose plant.,suggested to spray malathion 50ec@2 mililiter/liter of water.
asking about the control of red ant in pumpkin,suggest him to apply super prophex @ 2gm/litre of water.
asking that her goats are suffering from cough.,tr.: 1. caflon 100 gm @ 2-3 tsf orally daily.
asking about time of application of fertilzers,advice to apply fertilizers after 3 monthes of planting
desease,spray malathion 50 ec @2ml/litre water
asking about the fertilizer dose of maize.,"fertilizer dose:  urea@4kg, ssp @8kg and mop@2kg per bigha of land."
coccideosis,give 1.mericocci ? k @ 1g per lt water for 48 hours
storage pest problem,apply 120 gm  of malathion 5% dust per quintol of potato
query regarding pmkisan.,either details are not registered in the portal or rejected due to wrong details.
asking about fertilizer doses for brinjal. ,"please use the recommended doses of fertilizer- urea- 15 kg, super 50 kg and potash 10 kg and dry cow dung 1 tonne per bigha of land. full doses of cowdung, super and potash and half doses of urea shold be mixed with soil before 3-4 days of planting, remaining half of urea should be top dresses 30 days after planting. 

in the field where seedlings have already planted, please spray npk 19:19:19 , 10 gram per liter of water 3 times at 15 days interval in the evening time in the absence of rain.

 and for increasing the yield please spray vitamins like mohaphol/biovita/sagarika/bahar 2ml per liter of water once at flowering stage and ance at fruit setting stage."
control measure of fruit borer of bottle gourd,spray 'actara' @ 2 ml per litre of water
query regarding  piggery,"housing , electricity medicine selection of piglet / boar/ sow etc. should be judge prior to establish a piggery unit . there are some training ( piggery, dairy duckery )implemented by local govt.or by some private group ( take such information from dvo/ kvk of respective district ) . one can enter in such scheme to earn knowledge for pig farming."
asking about the control of fruit fly,spray malathion 50 50 ec @ 2ml/litres of water
veterinary,forwarded to the veterinery expert
asking about the source of information of pure goat breed.,"suggested to contact the farm manager, goat research farm , burnihat."
cultural practices of radish,explained in details
problem of shoot borer in brinjal.,advised him to apply fluton @ 1.5 ml / litre of water
asking about the control measure to control anthracnose disease of chilli.,suggested to spray dithane m-45@2.5 gram/liter of water.
blast problem in rice,spray contaf @ 2ml/litre of water
asking that how to avail a kisan credit card.,replied that he should approach any nearset nationalized bank of his locality through the village level extension worker and the district agricultural officer of his district and to meet the marketring & recovery officer loan section with all relevant documents of his land and to have other details from him.
control measure of fruit borer in cucumber,spray 'malathion 50 ec' @ 2 ml per litre of water
asking about cultural practices of ginger,explained in details
control of fruit scarring betel in banana,spray malathion 50 ec @ 2 ml per liter of water
want to know regarding pest attack in potato,advice to spray bavistin @ 2 g/lit of water
asking about the banana  fertlizer dose,suggest him the recomannded fertilizer dose
asking about the cultivation practices of arize 6444.,explained in details...
asking about seed treatment,"the pieces are to be dipped in mancozeb (indofil m45) @ 5g in 1 lit of water for about 10 minutes. after treatment seeds are to be spread thinly and dried under shade for 48 hours, or should be covered with moist gunny bags for 2-3 days for suberization."
asking about coconut query,recommended that application of coconut special @2ml/lit of water
asking about the new fish pond management,explain him as per the package of practice
asking for cultural practices,explain in details
asking for fertilizer dose of rice,"for dwarf varieties- urea:ssp:mop 18:17:9 half dose of urea and whole dose of ssp mop at time of planting, half dose urea at the time of panicle initiation. 
herbicides-pretilachlor -
green harvest 25gm/10litre of water between 35-60 days after planting"
asking for var,"suggested him kufri jyoti, kufri megha and kufri sindhuri the var. of potato"
asking for the control measure against fungal wilt in brinjal crop cultivation.,suggested to drench the soil around the plant at the base with captan 50 wp solution @ 3 gram in 1 litre of water and also to spray on the crop.
regarding fertilizer dose of coconut,"apply urea @ 1 kg,ssp @ 500gm ,mop @ 2kg and borax @ 25gm/year/plant in two split doses in the month of april and october"
